"","reduction","NNT_diff"
"1",1,-152482
"2",2,-69216
"3",3,-47532
"4",4,-36174
"5",5,-28097
"6",6,-23680
"7",7,-20456
"8",8,-18001
"9",9,-15729
"10",10,-14229
"11",11,-12987
"12",12,-11754
"13",13,-10889
"14",14,-10142
"15",15,-9368
"16",16,-8807
"17",17,-8308
"18",18,-7862
"19",19,-7385
"20",20,-7028
"21",21,-6704
"22",22,-6351
"23",23,-6084
"24",24,-5838
"25",25,-5566
"26",26,-5358
"27",27,-5165
"28",28,-4985
"29",29,-4784
"30",30,-4628
"31",31,-4482
"32",32,-4317
"33",33,-4189
"34",34,-4068
"35",35,-3931
"36",36,-3824
"37",37,-3722
"38",38,-3625
"39",39,-3515
"40",40,-3428
"41",41,-3345
"42",42,-3250
"43",43,-3175
"44",44,-3103
"45",45,-3021
"46",46,-2956
"47",47,-2893
"48",48,-2821
"49",49,-2763
"50",50,-2708
"51",51,-2654
"52",52,-2593
"53",53,-2544
"54",54,-2496
"55",55,-2441
"56",56,-2397
"57",57,-2355
"58",58,-2306
"59",59,-2266
"60",60,-2228
"61",61,-2191
"62",62,-2147
"63",63,-2113
"64",64,-2079
"65",65,-2040
"66",66,-2008
"67",67,-1978
"68",68,-1942
"69",69,-1913
"70",70,-1885
"71",71,-1857
"72",72,-1826
"73",73,-1800
"74",74,-1775
"75",75,-1745
"76",76,-1721
"77",77,-1698
"78",78,-1671
"79",79,-1649
"80",80,-1628
"81",81,-1607
"82",82,-1582
"83",83,-1562
"84",84,-1543
"85",85,-1520
"86",86,-1501
"87",87,-1483
"88",88,-1462
"89",89,-1445
"90",90,-1428
"91",91,-1408
"92",92,-1392
"93",93,-1376
"94",94,-1360
"95",95,-1342
"96",96,-1327
"97",97,-1312
"98",98,-1295
"99",99,-1281
"100",100,-1268
"101",101,-1252
"102",102,-1238
"103",103,-1225
"104",104,-1213
"105",105,-1198
"106",106,-1186
"107",107,-1174
"108",108,-1160
"109",109,-1148
"110",110,-1137
"111",111,-1123
"112",112,-1112
"113",113,-1102
"114",114,-1091
"115",115,-1079
"116",116,-1069
"117",117,-1059
"118",118,-1047
"119",119,-1037
"120",120,-1028
"121",121,-1016
"122",122,-1007
"123",123,-998
"124",124,-987
"125",125,-979
"126",126,-970
"127",127,-962
"128",128,-952
"129",129,-943
"130",130,-935
"131",131,-926
"132",132,-918
"133",133,-910
"134",134,-901
"135",135,-894
"136",136,-886
"137",137,-879
"138",138,-870
"139",139,-863
"140",140,-856
"141",141,-848
"142",142,-841
"143",143,-834
"144",144,-827
"145",145,-820
"146",146,-814
"147",147,-807
"148",148,-800
"149",149,-794
"150",150,-788
"151",151,-780
"152",152,-774
"153",153,-769
"154",154,-762
"155",155,-756
"156",156,-750
"157",157,-745
"158",158,-738
"159",159,-733
"160",160,-728
"161",161,-721
"162",162,-716
"163",163,-711
"164",164,-705
"165",165,-700
"166",166,-695
"167",167,-689
"168",168,-684
"169",169,-679
"170",170,-675
"171",171,-669
"172",172,-664
"173",173,-660
"174",174,-654
"175",175,-650
"176",176,-646
"177",177,-640
"178",178,-636
"179",179,-632
"180",180,-628
"181",181,-623
"182",182,-618
"183",183,-614
"184",184,-610
"185",185,-606
"186",186,-602
"187",187,-597
"188",188,-593
"189",189,-589
"190",190,-585
"191",191,-581
"192",192,-577
"193",193,-574
"194",194,-569
"195",195,-566
"196",196,-562
"197",197,-558
"198",198,-554
"199",199,-551
"200",200,-548
"201",201,-544
"202",202,-540
"203",203,-537
"204",204,-533
"205",205,-530
"206",206,-526
"207",207,-523
"208",208,-519
"209",209,-516
"210",210,-513
"211",211,-510
"212",212,-507
"213",213,-504
"214",214,-500
"215",215,-497
"216",216,-494
"217",217,-491
"218",218,-488
"219",219,-485
"220",220,-482
"221",221,-479
"222",222,-476
"223",223,-473
"224",224,-470
"225",225,-467
"226",226,-465
"227",227,-461
"228",228,-459
"229",229,-456
"230",230,-453
"231",231,-451
"232",232,-448
"233",233,-446
"234",234,-443
"235",235,-440
"236",236,-438
"237",237,-435
"238",238,-432
"239",239,-430
"240",240,-427
"241",241,-425
"242",242,-422
"243",243,-420
"244",244,-417
"245",245,-415
"246",246,-413
"247",247,-410
"248",248,-408
"249",249,-406
"250",250,-403
"251",251,-401
"252",252,-399
"253",253,-396
"254",254,-394
"255",255,-392
"256",256,-390
"257",257,-387
"258",258,-385
"259",259,-383
"260",260,-381
"261",261,-379
"262",262,-377
"263",263,-375
"264",264,-373
"265",265,-371
"266",266,-369
"267",267,-367
"268",268,-365
"269",269,-363
"270",270,-361
"271",271,-359
"272",272,-357
"273",273,-355
"274",274,-353
"275",275,-351
"276",276,-349
"277",277,-347
"278",278,-345
"279",279,-344
"280",280,-341
"281",281,-340
"282",282,-338
"283",283,-336
"284",284,-334
"285",285,-333
"286",286,-331
"287",287,-329
"288",288,-327
"289",289,-326
"290",290,-324
"291",291,-322
"292",292,-321
"293",293,-319
"294",294,-317
"295",295,-316
"296",296,-314
"297",297,-312
"298",298,-311
"299",299,-309
"300",300,-307
"301",301,-306
"302",302,-304
"303",303,-302
"304",304,-301
"305",305,-300
"306",306,-298
"307",307,-296
"308",308,-295
"309",309,-293
"310",310,-292
"311",311,-290
"312",312,-289
"313",313,-287
"314",314,-286
"315",315,-285
"316",316,-283
"317",317,-282
"318",318,-280
"319",319,-279
"320",320,-277
"321",321,-276
"322",322,-275
"323",323,-273
"324",324,-272
"325",325,-270
"326",326,-269
"327",327,-268
"328",328,-266
"329",329,-265
"330",330,-264
"331",331,-262
"332",332,-261
"333",333,-260
"334",334,-258
"335",335,-257
"336",336,-256
"337",337,-255
"338",338,-253
"339",339,-252
"340",340,-251
"341",341,-250
"342",342,-248
"343",343,-247
"344",344,-246
"345",345,-245
"346",346,-243
"347",347,-242
"348",348,-241
"349",349,-240
"350",350,-239
"351",351,-238
"352",352,-237
"353",353,-235
"354",354,-234
"355",355,-233
"356",356,-232
"357",357,-231
"358",358,-230
"359",359,-228
"360",360,-227
"361",361,-226
"362",362,-225
"363",363,-224
"364",364,-223
"365",365,-222
"366",366,-221
"367",367,-220
"368",368,-219
"369",369,-218
"370",370,-217
"371",371,-216
"372",372,-214
"373",373,-213
"374",374,-212
"375",375,-211
"376",376,-210
"377",377,-209
"378",378,-208
"379",379,-207
"380",380,-206
"381",381,-205
"382",382,-204
"383",383,-203
"384",384,-202
"385",385,-201
"386",386,-200
"387",387,-199
"388",388,-199
"389",389,-197
"390",390,-197
"391",391,-196
"392",392,-195
"393",393,-194
"394",394,-193
"395",395,-192
"396",396,-191
"397",397,-190
"398",398,-189
"399",399,-188
"400",400,-187
"401",401,-187
"402",402,-186
"403",403,-185
"404",404,-184
"405",405,-183
"406",406,-182
"407",407,-181
"408",408,-180
"409",409,-179
"410",410,-179
"411",411,-178
"412",412,-177
"413",413,-176
"414",414,-175
"415",415,-174
"416",416,-173
"417",417,-173
"418",418,-172
"419",419,-171
"420",420,-170
"421",421,-169
"422",422,-169
"423",423,-168
"424",424,-167
"425",425,-166
"426",426,-165
"427",427,-165
"428",428,-164
"429",429,-163
"430",430,-162
"431",431,-162
"432",432,-161
"433",433,-160
"434",434,-159
"435",435,-158
"436",436,-158
"437",437,-157
"438",438,-156
"439",439,-155
"440",440,-155
"441",441,-154
"442",442,-153
"443",443,-152
"444",444,-152
"445",445,-151
"446",446,-150
"447",447,-150
"448",448,-149
"449",449,-148
"450",450,-147
"451",451,-147
"452",452,-146
"453",453,-145
"454",454,-145
"455",455,-144
"456",456,-143
"457",457,-143
"458",458,-142
"459",459,-141
"460",460,-140
"461",461,-140
"462",462,-139
"463",463,-138
"464",464,-138
"465",465,-137
"466",466,-136
"467",467,-136
"468",468,-135
"469",469,-134
"470",470,-134
"471",471,-133
"472",472,-132
"473",473,-132
"474",474,-131
"475",475,-131
"476",476,-130
"477",477,-129
"478",478,-129
"479",479,-128
"480",480,-127
"481",481,-127
"482",482,-126
"483",483,-126
"484",484,-125
"485",485,-124
"486",486,-124
"487",487,-123
"488",488,-122
"489",489,-122
"490",490,-121
"491",491,-121
"492",492,-120
"493",493,-119
"494",494,-119
"495",495,-118
"496",496,-118
"497",497,-117
"498",498,-117
"499",499,-116
"500",500,-115
"501",501,-115
"502",502,-114
"503",503,-114
"504",504,-113
"505",505,-113
"506",506,-112
"507",507,-111
"508",508,-111
"509",509,-110
"510",510,-110
"511",511,-109
"512",512,-109
"513",513,-108
"514",514,-108
"515",515,-107
"516",516,-106
"517",517,-106
"518",518,-105
"519",519,-105
"520",520,-104
"521",521,-104
"522",522,-103
"523",523,-103
"524",524,-102
"525",525,-102
"526",526,-101
"527",527,-101
"528",528,-100
"529",529,-100
"530",530,-99
"531",531,-99
"532",532,-98
"533",533,-98
"534",534,-97
"535",535,-97
"536",536,-96
"537",537,-96
"538",538,-95
"539",539,-95
"540",540,-94
"541",541,-94
"542",542,-93
"543",543,-93
"544",544,-92
"545",545,-92
"546",546,-91
"547",547,-91
"548",548,-90
"549",549,-90
"550",550,-89
"551",551,-89
"552",552,-88
"553",553,-88
"554",554,-87
"555",555,-87
"556",556,-86
"557",557,-86
"558",558,-85
"559",559,-85
"560",560,-85
"561",561,-84
"562",562,-84
"563",563,-83
"564",564,-83
"565",565,-82
"566",566,-82
"567",567,-81
"568",568,-81
"569",569,-80
"570",570,-80
"571",571,-80
"572",572,-79
"573",573,-79
"574",574,-78
"575",575,-78
"576",576,-77
"577",577,-77
"578",578,-77
"579",579,-76
"580",580,-76
"581",581,-75
"582",582,-75
"583",583,-74
"584",584,-74
"585",585,-74
"586",586,-73
"587",587,-73
"588",588,-72
"589",589,-72
"590",590,-72
"591",591,-71
"592",592,-71
"593",593,-70
"594",594,-70
"595",595,-69
"596",596,-69
"597",597,-69
"598",598,-68
"599",599,-68
"600",600,-67
"601",601,-67
"602",602,-67
"603",603,-66
"604",604,-66
"605",605,-65
"606",606,-65
"607",607,-65
"608",608,-64
"609",609,-64
"610",610,-64
"611",611,-63
"612",612,-63
"613",613,-62
"614",614,-62
"615",615,-62
"616",616,-61
"617",617,-61
"618",618,-60
"619",619,-60
"620",620,-60
"621",621,-59
"622",622,-59
"623",623,-59
"624",624,-58
"625",625,-58
"626",626,-57
"627",627,-57
"628",628,-57
"629",629,-56
"630",630,-56
"631",631,-56
"632",632,-55
"633",633,-55
"634",634,-55
"635",635,-54
"636",636,-54
"637",637,-53
"638",638,-53
"639",639,-53
"640",640,-52
"641",641,-52
"642",642,-52
"643",643,-51
"644",644,-51
"645",645,-51
"646",646,-50
"647",647,-50
"648",648,-50
"649",649,-49
"650",650,-49
"651",651,-49
"652",652,-48
"653",653,-48
"654",654,-48
"655",655,-47
"656",656,-47
"657",657,-47
"658",658,-46
"659",659,-46
"660",660,-46
"661",661,-45
"662",662,-45
"663",663,-45
"664",664,-44
"665",665,-44
"666",666,-44
"667",667,-43
"668",668,-43
"669",669,-43
"670",670,-42
"671",671,-42
"672",672,-42
"673",673,-41
"674",674,-41
"675",675,-41
"676",676,-40
"677",677,-40
"678",678,-40
"679",679,-40
"680",680,-39
"681",681,-39
"682",682,-39
"683",683,-38
"684",684,-38
"685",685,-38
"686",686,-37
"687",687,-37
"688",688,-37
"689",689,-36
"690",690,-36
"691",691,-36
"692",692,-36
"693",693,-35
"694",694,-35
"695",695,-35
"696",696,-34
"697",697,-34
"698",698,-34
"699",699,-33
"700",700,-33
"701",701,-33
"702",702,-33
"703",703,-32
"704",704,-32
"705",705,-32
"706",706,-31
"707",707,-31
"708",708,-31
"709",709,-31
"710",710,-30
"711",711,-30
"712",712,-30
"713",713,-29
"714",714,-29
"715",715,-29
"716",716,-29
"717",717,-28
"718",718,-28
"719",719,-28
"720",720,-27
"721",721,-27
"722",722,-27
"723",723,-27
"724",724,-26
"725",725,-26
"726",726,-26
"727",727,-25
"728",728,-25
"729",729,-25
"730",730,-25
"731",731,-24
"732",732,-24
"733",733,-24
"734",734,-24
"735",735,-23
"736",736,-23
"737",737,-23
"738",738,-23
"739",739,-22
"740",740,-22
"741",741,-22
"742",742,-22
"743",743,-21
"744",744,-21
"745",745,-21
"746",746,-20
"747",747,-20
"748",748,-20
"749",749,-20
"750",750,-19
"751",751,-19
"752",752,-19
"753",753,-19
"754",754,-18
"755",755,-18
"756",756,-18
"757",757,-18
"758",758,-17
"759",759,-17
"760",760,-17
"761",761,-17
"762",762,-16
"763",763,-16
"764",764,-16
"765",765,-16
"766",766,-15
"767",767,-15
"768",768,-15
"769",769,-15
"770",770,-14
"771",771,-14
"772",772,-14
"773",773,-14
"774",774,-13
"775",775,-13
"776",776,-13
"777",777,-13
"778",778,-13
"779",779,-12
"780",780,-12
"781",781,-12
"782",782,-12
"783",783,-11
"784",784,-11
"785",785,-11
"786",786,-11
"787",787,-10
"788",788,-10
"789",789,-10
"790",790,-10
"791",791,-9
"792",792,-9
"793",793,-9
"794",794,-9
"795",795,-9
"796",796,-8
"797",797,-8
"798",798,-8
"799",799,-8
"800",800,-7
"801",801,-7
"802",802,-7
"803",803,-7
"804",804,-7
"805",805,-6
"806",806,-6
"807",807,-6
"808",808,-6
"809",809,-5
"810",810,-5
"811",811,-5
"812",812,-5
"813",813,-5
"814",814,-4
"815",815,-4
"816",816,-4
"817",817,-4
"818",818,-3
"819",819,-3
"820",820,-3
"821",821,-3
"822",822,-3
"823",823,-2
"824",824,-2
"825",825,-2
"826",826,-2
"827",827,-2
"828",828,-1
"829",829,-1
"830",830,-1
"831",831,-1
"832",832,0
"833",833,0
"834",834,0
"835",835,0
"836",836,0
"837",837,1
"838",838,1
"839",839,1
"840",840,1
"841",841,1
"842",842,2
"843",843,2
"844",844,2
"845",845,2
"846",846,2
"847",847,3
"848",848,3
"849",849,3
"850",850,3
"851",851,3
"852",852,4
"853",853,4
"854",854,4
"855",855,4
"856",856,4
"857",857,5
"858",858,5
"859",859,5
"860",860,5
"861",861,5
"862",862,6
"863",863,6
"864",864,6
"865",865,6
"866",866,6
"867",867,6
"868",868,7
"869",869,7
"870",870,7
"871",871,7
"872",872,7
"873",873,8
"874",874,8
"875",875,8
"876",876,8
"877",877,8
"878",878,9
"879",879,9
"880",880,9
"881",881,9
"882",882,9
"883",883,9
"884",884,10
"885",885,10
"886",886,10
"887",887,10
"888",888,10
"889",889,11
"890",890,11
"891",891,11
"892",892,11
"893",893,11
"894",894,11
"895",895,12
"896",896,12
"897",897,12
"898",898,12
"899",899,12
"900",900,13
"901",901,13
"902",902,13
"903",903,13
"904",904,13
"905",905,13
"906",906,14
"907",907,14
"908",908,14
"909",909,14
"910",910,14
"911",911,15
"912",912,15
"913",913,15
"914",914,15
"915",915,15
"916",916,15
"917",917,16
"918",918,16
"919",919,16
"920",920,16
"921",921,16
"922",922,16
"923",923,17
"924",924,17
"925",925,17
"926",926,17
"927",927,17
"928",928,17
"929",929,18
"930",930,18
"931",931,18
"932",932,18
"933",933,18
"934",934,18
"935",935,19
"936",936,19
"937",937,19
"938",938,19
"939",939,19
"940",940,19
"941",941,20
"942",942,20
"943",943,20
"944",944,20
"945",945,20
"946",946,20
"947",947,20
"948",948,21
"949",949,21
"950",950,21
"951",951,21
"952",952,21
"953",953,21
"954",954,22
"955",955,22
"956",956,22
"957",957,22
"958",958,22
"959",959,22
"960",960,23
"961",961,23
"962",962,23
"963",963,23
"964",964,23
"965",965,23
"966",966,23
"967",967,24
"968",968,24
"969",969,24
"970",970,24
"971",971,24
"972",972,24
"973",973,25
"974",974,25
"975",975,25
"976",976,25
"977",977,25
"978",978,25
"979",979,25
"980",980,26
"981",981,26
"982",982,26
"983",983,26
"984",984,26
"985",985,26
"986",986,27
"987",987,27
"988",988,27
"989",989,27
"990",990,27
"991",991,27
"992",992,27
"993",993,28
"994",994,28
"995",995,28
"996",996,28
"997",997,28
"998",998,28
"999",999,28
"1000",1000,29
