"","reduction","NNT_diff"
"1",1,-745962
"2",2,-745962
"3",3,-364326
"4",4,-364326
"5",5,-237114
"6",6,-237114
"7",7,-173508
"8",8,-173508
"9",9,-135345
"10",10,-135345
"11",11,-109902
"12",12,-109902
"13",13,-91729
"14",14,-91729
"15",15,-78099
"16",16,-67498
"17",17,-67498
"18",18,-59018
"19",19,-59018
"20",20,-52079
"21",21,-52079
"22",22,-46296
"23",23,-46296
"24",24,-41404
"25",25,-41404
"26",26,-37210
"27",27,-37210
"28",28,-33575
"29",29,-33575
"30",30,-30395
"31",31,-30395
"32",32,-27589
"33",33,-25094
"34",34,-25094
"35",35,-22863
"36",36,-22863
"37",37,-20854
"38",38,-20854
"39",39,-19037
"40",40,-19037
"41",41,-17385
"42",42,-17385
"43",43,-15876
"44",44,-15876
"45",45,-14493
"46",46,-14493
"47",47,-13221
"48",48,-12047
"49",49,-12047
"50",50,-10960
"51",51,-10960
"52",52,-9950
"53",53,-9950
"54",54,-9010
"55",55,-9010
"56",56,-8133
"57",57,-8133
"58",58,-7312
"59",59,-7312
"60",60,-6543
"61",61,-6543
"62",62,-5820
"63",63,-5140
"64",64,-5140
"65",65,-4498
"66",66,-4498
"67",67,-3892
"68",68,-3892
"69",69,-3319
"70",70,-3319
"71",71,-2777
"72",72,-2777
"73",73,-2262
"74",74,-2262
"75",75,-1772
"76",76,-1772
"77",77,-1307
"78",78,-1307
"79",79,-864
"80",80,-441
"81",81,-441
"82",82,-38
"83",83,-38
"84",84,348
"85",85,348
"86",86,717
"87",87,717
"88",88,1070
"89",89,1070
"90",90,1408
"91",91,1408
"92",92,1733
"93",93,1733
"94",94,2044
"95",95,2343
"96",96,2343
"97",97,2631
"98",98,2631
"99",99,2908
"100",100,2908
"101",101,3175
"102",102,3175
"103",103,3432
"104",104,3432
"105",105,3680
"106",106,3680
"107",107,3919
"108",108,3919
"109",109,4150
"110",110,4373
"111",111,4373
"112",112,4588
"113",113,4588
"114",114,4797
"115",115,4797
"116",116,4999
"117",117,4999
"118",118,5194
"119",119,5194
"120",120,5383
"121",121,5383
"122",122,5567
"123",123,5567
"124",124,5745
"125",125,5745
"126",126,5917
"127",127,6085
"128",128,6085
"129",129,6248
"130",130,6248
"131",131,6406
"132",132,6406
"133",133,6559
"134",134,6559
"135",135,6709
"136",136,6709
"137",137,6854
"138",138,6854
"139",139,6995
"140",140,6995
"141",141,7133
"142",142,7266
"143",143,7266
"144",144,7397
"145",145,7397
"146",146,7524
"147",147,7524
"148",148,7648
"149",149,7648
"150",150,7769
"151",151,7769
"152",152,7886
"153",153,7886
"154",154,8001
"155",155,8001
"156",156,8113
"157",157,8223
"158",158,8223
"159",159,8330
"160",160,8330
"161",161,8434
"162",162,8434
"163",163,8536
"164",164,8536
"165",165,8636
"166",166,8636
"167",167,8733
"168",168,8733
"169",169,8829
"170",170,8829
"171",171,8922
"172",172,9013
"173",173,9013
"174",174,9102
"175",175,9102
"176",176,9190
"177",177,9190
"178",178,9275
"179",179,9275
"180",180,9359
"181",181,9359
"182",182,9441
"183",183,9441
"184",184,9521
"185",185,9521
"186",186,9600
"187",187,9600
"188",188,9677
"189",189,9752
"190",190,9752
"191",191,9826
"192",192,9826
"193",193,9899
"194",194,9899
"195",195,9970
"196",196,9970
"197",197,10040
"198",198,10040
"199",199,10109
"200",200,10109
"201",201,10176
"202",202,10176
"203",203,10242
"204",204,10307
"205",205,10307
"206",206,10371
"207",207,10371
"208",208,10433
"209",209,10433
"210",210,10495
"211",211,10495
"212",212,10555
"213",213,10555
"214",214,10614
"215",215,10614
"216",216,10672
"217",217,10672
"218",218,10730
"219",219,10786
"220",220,10786
"221",221,10841
"222",222,10841
"223",223,10895
"224",224,10895
"225",225,10949
"226",226,10949
"227",227,11001
"228",228,11001
"229",229,11053
