"","reduction","NNT_diff"
"1",1,-379013
"2",2,-188195
"3",3,-124589
"4",4,-92786
"5",5,-82185
"6",6,-66766
"7",7,-56091
"8",8,-48262
"9",9,-42276
"10",10,-37550
"11",11,-33724
"12",12,-30563
"13",13,-27908
"14",14,-26734
"15",15,-24637
"16",16,-22820
"17",17,-21230
"18",18,-19827
"19",19,-18579
"20",20,-17464
"21",21,-16459
"22",22,-15551
"23",23,-14725
"24",24,-14339
"25",25,-13617
"26",26,-12954
"27",27,-12344
"28",28,-11779
"29",29,-11255
"30",30,-10768
"31",31,-10314
"32",32,-9890
"33",33,-9688
"34",34,-9304
"35",35,-8942
"36",36,-8602
"37",37,-8281
"38",38,-7978
"39",39,-7692
"40",40,-7421
"41",41,-7163
"42",42,-7039
"43",43,-6801
"44",44,-6574
"45",45,-6357
"46",46,-6151
"47",47,-5954
"48",48,-5765
"49",49,-5585
"50",50,-5412
"51",51,-5328
"52",52,-5166
"53",53,-5010
"54",54,-4861
"55",55,-4717
"56",56,-4578
"57",57,-4445
"58",58,-4316
"59",59,-4192
"60",60,-4073
"61",61,-4015
"62",62,-3901
"63",63,-3792
"64",64,-3686
"65",65,-3583
"66",66,-3484
"67",67,-3388
"68",68,-3294
"69",69,-3204
"70",70,-3160
"71",71,-3074
"72",72,-2990
"73",73,-2908
"74",74,-2829
"75",75,-2753
"76",76,-2678
"77",77,-2605
"78",78,-2535
"79",79,-2500
"80",80,-2432
"81",81,-2366
"82",82,-2302
"83",83,-2239
"84",84,-2178
"85",85,-2118
"86",86,-2060
"87",87,-2003
"88",88,-1976
"89",89,-1921
"90",90,-1867
"91",91,-1815
"92",92,-1764
"93",93,-1714
"94",94,-1666
"95",95,-1618
"96",96,-1571
"97",97,-1548
"98",98,-1503
"99",99,-1459
"100",100,-1416
"101",101,-1374
"102",102,-1332
"103",103,-1292
"104",104,-1252
"105",105,-1213
"106",106,-1175
"107",107,-1156
"108",108,-1119
"109",109,-1083
"110",110,-1047
"111",111,-1012
"112",112,-978
"113",113,-944
"114",114,-911
"115",115,-879
"116",116,-863
"117",117,-831
"118",118,-800
"119",119,-770
"120",120,-740
"121",121,-711
"122",122,-682
"123",123,-653
"124",124,-625
"125",125,-612
"126",126,-585
"127",127,-558
"128",128,-532
"129",129,-506
"130",130,-480
"131",131,-455
"132",132,-431
"133",133,-406
"134",134,-394
"135",135,-371
"136",136,-347
"137",137,-324
"138",138,-302
"139",139,-280
"140",140,-258
"141",141,-236
"142",142,-215
"143",143,-194
"144",144,-184
"145",145,-163
"146",146,-143
"147",147,-123
"148",148,-103
"149",149,-84
"150",150,-65
"151",151,-46
"152",152,-28
"153",153,-19
"154",154,0
"155",155,17
"156",156,35
"157",157,53
"158",158,70
"159",159,87
"160",160,103
"161",161,120
"162",162,128
"163",163,144
"164",164,160
"165",165,176
"166",166,192
"167",167,207
"168",168,222
"169",169,237
"170",170,252
"171",171,259
"172",172,274
"173",173,288
"174",174,303
"175",175,317
"176",176,330
"177",177,344
"178",178,358
"179",179,371
"180",180,384
"181",181,391
"182",182,404
"183",183,417
"184",184,429
"185",185,442
"186",186,454
"187",187,466
"188",188,478
"189",189,490
"190",190,496
"191",191,508
"192",192,520
"193",193,531
"194",194,543
"195",195,554
"196",196,565
"197",197,576
"198",198,587
"199",199,593
"200",200,603
"201",201,614
"202",202,624
"203",203,635
"204",204,645
"205",205,655
"206",206,665
"207",207,675
"208",208,680
"209",209,690
"210",210,700
"211",211,710
"212",212,719
"213",213,729
"214",214,738
"215",215,747
"216",216,756
"217",217,765
"218",218,770
"219",219,779
"220",220,788
"221",221,796
"222",222,805
"223",223,814
"224",224,822
"225",225,831
"226",226,839
"227",227,843
"228",228,852
"229",229,860
"230",230,868
"231",231,876
"232",232,884
"233",233,892
"234",234,900
"235",235,907
"236",236,911
"237",237,919
"238",238,926
"239",239,934
"240",240,941
"241",241,949
"242",242,956
"243",243,963
"244",244,970
"245",245,974
"246",246,981
"247",247,988
"248",248,995
"249",249,1002
"250",250,1009
"251",251,1016
"252",252,1022
"253",253,1029
"254",254,1032
"255",255,1039
"256",256,1045
"257",257,1052
"258",258,1058
"259",259,1065
"260",260,1071
"261",261,1077
"262",262,1084
"263",263,1090
"264",264,1093
"265",265,1099
"266",266,1105
"267",267,1111
"268",268,1117
"269",269,1123
"270",270,1129
"271",271,1135
"272",272,1140
"273",273,1143
"274",274,1149
"275",275,1155
"276",276,1160
"277",277,1166
"278",278,1171
"279",279,1177
"280",280,1182
"281",281,1188
"282",282,1190
"283",283,1196
"284",284,1201
"285",285,1206
"286",286,1212
"287",287,1217
"288",288,1222
"289",289,1227
"290",290,1232
"291",291,1235
"292",292,1240
"293",293,1245
"294",294,1250
"295",295,1255
"296",296,1260
"297",297,1264
"298",298,1269
"299",299,1274
"300",300,1279
"301",301,1281
"302",302,1286
"303",303,1290
"304",304,1295
"305",305,1300
"306",306,1304
"307",307,1309
"308",308,1313
"309",309,1318
"310",310,1320
"311",311,1324
"312",312,1329
"313",313,1333
"314",314,1338
"315",315,1342
"316",316,1346
"317",317,1350
"318",318,1355
"319",319,1357
"320",320,1361
"321",321,1365
"322",322,1369
"323",323,1373
"324",324,1377
"325",325,1381
"326",326,1385
"327",327,1389
"328",328,1391
"329",329,1395
"330",330,1399
"331",331,1403
"332",332,1407
"333",333,1411
"334",334,1415
"335",335,1419
"336",336,1422
"337",337,1426
"338",338,1428
"339",339,1432
"340",340,1435
"341",341,1439
"342",342,1443
"343",343,1446
"344",344,1450
"345",345,1454
"346",346,1457
"347",347,1459
"348",348,1463
"349",349,1466
"350",350,1470
"351",351,1473
"352",352,1476
"353",353,1480
"354",354,1483
"355",355,1487
"356",356,1488
"357",357,1492
"358",358,1495
"359",359,1498
"360",360,1502
"361",361,1505
"362",362,1508
"363",363,1511
"364",364,1515
"365",365,1516
"366",366,1520
"367",367,1523
"368",368,1526
"369",369,1529
"370",370,1532
"371",371,1535
"372",372,1538
"373",373,1541
"374",374,1543
"375",375,1546
"376",376,1549
"377",377,1552
"378",378,1555
"379",379,1558
"380",380,1561
"381",381,1564
"382",382,1567
"383",383,1570
"384",384,1571
"385",385,1574
"386",386,1577
"387",387,1580
"388",388,1583
"389",389,1585
"390",390,1588
"391",391,1591
"392",392,1594
"393",393,1595
"394",394,1598
"395",395,1601
"396",396,1603
"397",397,1606
"398",398,1609
"399",399,1612
"400",400,1614
"401",401,1617
"402",402,1618
"403",403,1621
"404",404,1623
"405",405,1626
"406",406,1629
"407",407,1631
"408",408,1634
"409",409,1636
"410",410,1639
"411",411,1640
"412",412,1643
"413",413,1645
"414",414,1648
"415",415,1650
"416",416,1653
"417",417,1655
"418",418,1658
"419",419,1660
"420",420,1662
"421",421,1664
"422",422,1666
"423",423,1668
"424",424,1671
"425",425,1673
"426",426,1676
"427",427,1678
"428",428,1680
"429",429,1683
"430",430,1684
"431",431,1686
"432",432,1688
"433",433,1691
"434",434,1693
"435",435,1695
"436",436,1697
"437",437,1700
"438",438,1702
"439",439,1703
"440",440,1705
"441",441,1707
"442",442,1709
"443",443,1712
"444",444,1714
"445",445,1716
"446",446,1718
"447",447,1720
"448",448,1721
"449",449,1723
"450",450,1726
"451",451,1728
"452",452,1730
"453",453,1732
"454",454,1734
"455",455,1736
"456",456,1738
"457",457,1740
"458",458,1741
"459",459,1743
"460",460,1745
"461",461,1747
"462",462,1749
"463",463,1751
"464",464,1753
"465",465,1755
"466",466,1757
"467",467,1758
"468",468,1760
"469",469,1762
"470",470,1764
"471",471,1766
"472",472,1768
"473",473,1770
"474",474,1772
"475",475,1773
"476",476,1774
"477",477,1776
"478",478,1778
"479",479,1780
"480",480,1782
"481",481,1784
"482",482,1786
"483",483,1787
"484",484,1789
"485",485,1790
"486",486,1792
"487",487,1794
"488",488,1796
"489",489,1797
"490",490,1799
"491",491,1801
"492",492,1803
"493",493,1804
"494",494,1806
"495",495,1807
"496",496,1809
"497",497,1811
"498",498,1812
"499",499,1814
"500",500,1816
"501",501,1817
"502",502,1819
"503",503,1821
"504",504,1822
"505",505,1823
"506",506,1825
"507",507,1827
"508",508,1828
"509",509,1830
"510",510,1832
"511",511,1833
"512",512,1835
"513",513,1836
"514",514,1837
"515",515,1839
"516",516,1840
"517",517,1842
"518",518,1844
"519",519,1845
"520",520,1847
"521",521,1848
"522",522,1849
"523",523,1851
"524",524,1852
"525",525,1854
"526",526,1855
"527",527,1857
"528",528,1858
"529",529,1860
"530",530,1862
"531",531,1862
"532",532,1864
"533",533,1865
"534",534,1867
"535",535,1868
"536",536,1870
"537",537,1871
"538",538,1873
"539",539,1874
"540",540,1876
"541",541,1876
"542",542,1878
"543",543,1879
"544",544,1881
"545",545,1882
"546",546,1884
"547",547,1885
"548",548,1886
"549",549,1888
"550",550,1889
"551",551,1890
"552",552,1891
"553",553,1893
"554",554,1894
"555",555,1896
"556",556,1897
"557",557,1898
"558",558,1900
"559",559,1900
"560",560,1902
"561",561,1903
"562",562,1904
"563",563,1906
"564",564,1907
"565",565,1908
"566",566,1910
"567",567,1911
"568",568,1912
"569",569,1913
"570",570,1914
"571",571,1916
"572",572,1917
"573",573,1918
"574",574,1920
"575",575,1921
"576",576,1922
"577",577,1924
"578",578,1924
"579",579,1925
"580",580,1927
"581",581,1928
"582",582,1929
"583",583,1931
"584",584,1932
"585",585,1933
"586",586,1934
"587",587,1935
"588",588,1936
"589",589,1937
"590",590,1939
"591",591,1940
"592",592,1941
"593",593,1942
"594",594,1943
"595",595,1945
"596",596,1945
"597",597,1946
"598",598,1948
"599",599,1949
"600",600,1950
"601",601,1951
"602",602,1952
"603",603,1954
"604",604,1955
"605",605,1955
"606",606,1956
"607",607,1958
"608",608,1959
"609",609,1960
"610",610,1961
"611",611,1962
"612",612,1963
"613",613,1965
"614",614,1966
"615",615,1966
"616",616,1967
"617",617,1968
"618",618,1970
"619",619,1971
"620",620,1972
"621",621,1973
"622",622,1974
"623",623,1975
"624",624,1976
"625",625,1977
"626",626,1978
"627",627,1979
"628",628,1980
"629",629,1981
"630",630,1982
"631",631,1983
"632",632,1984
"633",633,1985
"634",634,1986
"635",635,1987
