"","reduction","NNT_diff"
"1",1,-15333
"2",2,-10200
"3",3,-7633
"4",4,-6093
"5",5,-5067
"6",6,-4333
"7",7,-3783
"8",8,-3783
"9",9,-3013
"10",10,-2733
"11",11,-2733
"12",12,-2303
"13",13,-2303
"14",14,-1987
"15",15,-1858
"16",16,-1858
"17",17,-1645
"18",18,-1645
"19",19,-1555
"20",20,-1400
"21",21,-1400
"22",22,-1333
"23",23,-1273
"24",24,-1217
"25",25,-1165
"26",26,-1118
"27",27,-1074
"28",28,-1033
"29",29,-996
"30",30,-960
"31",31,-927
"32",32,-896
"33",33,-867
"34",34,-839
"35",35,-813
"36",36,-789
"37",37,-766
"38",38,-744
"39",39,-744
"40",40,-703
"41",41,-685
"42",42,-667
"43",43,-650
"44",44,-650
"45",45,-618
"46",46,-603
"47",47,-603
"48",48,-575
"49",49,-575
"50",50,-562
"51",51,-537
"52",52,-537
"53",53,-526
"54",54,-515
"55",55,-504
"56",56,-483
"57",57,-483
"58",58,-474
"59",59,-465
"60",60,-456
"61",61,-447
"62",62,-438
"63",63,-430
"64",64,-422
"65",65,-415
"66",66,-407
"67",67,-400
"68",68,-393
"69",69,-386
"70",70,-380
"71",71,-373
"72",72,-367
"73",73,-361
"74",74,-355
"75",75,-350
"76",76,-344
"77",77,-339
"78",78,-339
"79",79,-328
"80",80,-323
"81",81,-318
"82",82,-314
"83",83,-314
"84",84,-305
"85",85,-300
"86",86,-300
"87",87,-292
"88",88,-292
"89",89,-288
"90",90,-280
"91",91,-280
"92",92,-276
"93",93,-272
"94",94,-268
"95",95,-261
"96",96,-261
"97",97,-258
"98",98,-254
"99",99,-251
"100",100,-248
"101",101,-245
"102",102,-241
"103",103,-238
"104",104,-235
"105",105,-233
"106",106,-230
"107",107,-227
"108",108,-224
"109",109,-221
"110",110,-219
"111",111,-216
"112",112,-213
"113",113,-211
"114",114,-211
"115",115,-206
"116",116,-204
"117",117,-204
"118",118,-199
"119",119,-199
"120",120,-195
"121",121,-192
"122",122,-192
"123",123,-188
"124",124,-186
"125",125,-186
"126",126,-182
"127",127,-182
"128",128,-180
"129",129,-176
"130",130,-176
"131",131,-174
"132",132,-172
"133",133,-170
"134",134,-167
"135",135,-167
"136",136,-165
"137",137,-163
"138",138,-162
"139",139,-160
"140",140,-158
"141",141,-157
"142",142,-155
"143",143,-153
"144",144,-152
"145",145,-150
"146",146,-149
"147",147,-147
"148",148,-146
"149",149,-144
"150",150,-143
"151",151,-142
"152",152,-140
"153",153,-140
"154",154,-137
"155",155,-136
"156",156,-136
"157",157,-133
"158",158,-133
"159",159,-132
"160",160,-130
"161",161,-130
"162",162,-127
"163",163,-127
"164",164,-126
"165",165,-124
"166",166,-124
"167",167,-122
"168",168,-121
"169",169,-120
"170",170,-119
"171",171,-118
"172",172,-117
"173",173,-116
"174",174,-115
"175",175,-114
"176",176,-113
"177",177,-112
"178",178,-111
"179",179,-109
"180",180,-108
"181",181,-108
"182",182,-107
"183",183,-106
"184",184,-106
"185",185,-104
"186",186,-103
"187",187,-102
"188",188,-101
"189",189,-100
"190",190,-99
"191",191,-98
"192",192,-98
"193",193,-96
"194",194,-96
"195",195,-96
"196",196,-94
"197",197,-94
"198",198,-93
"199",199,-91
"200",200,-91
"201",201,-90
"202",202,-90
"203",203,-89
"204",204,-87
"205",205,-87
"206",206,-87
"207",207,-86
"208",208,-85
"209",209,-84
"210",210,-84
"211",211,-83
"212",212,-82
"213",213,-82
"214",214,-81
"215",215,-80
"216",216,-79
"217",217,-79
"218",218,-78
"219",219,-77
"220",220,-77
"221",221,-76
"222",222,-75
"223",223,-75
"224",224,-74
"225",225,-73
"226",226,-73
"227",227,-72
"228",228,-72
"229",229,-71
"230",230,-70
"231",231,-70
"232",232,-69
"233",233,-69
"234",234,-69
"235",235,-67
"236",236,-67
"237",237,-67
"238",238,-66
"239",239,-66
"240",240,-65
"241",241,-65
"242",242,-64
"243",243,-63
"244",244,-63
"245",245,-62
"246",246,-62
"247",247,-61
"248",248,-61
"249",249,-60
"250",250,-60
"251",251,-59
"252",252,-59
"253",253,-58
"254",254,-58
"255",255,-57
"256",256,-57
"257",257,-56
"258",258,-56
"259",259,-55
"260",260,-55
"261",261,-54
"262",262,-54
"263",263,-53
"264",264,-53
"265",265,-53
"266",266,-52
"267",267,-52
"268",268,-51
"269",269,-51
"270",270,-51
"271",271,-50
"272",272,-50
"273",273,-49
"274",274,-48
"275",275,-48
"276",276,-48
"277",277,-48
"278",278,-47
"279",279,-47
"280",280,-46
"281",281,-46
"282",282,-45
"283",283,-45
"284",284,-45
"285",285,-44
"286",286,-44
"287",287,-43
"288",288,-43
"289",289,-43
"290",290,-42
"291",291,-42
"292",292,-42
"293",293,-42
"294",294,-41
"295",295,-40
"296",296,-40
"297",297,-40
"298",298,-40
"299",299,-39
"300",300,-39
"301",301,-39
"302",302,-38
"303",303,-38
"304",304,-38
"305",305,-37
"306",306,-37
"307",307,-36
"308",308,-36
"309",309,-36
"310",310,-35
"311",311,-35
"312",312,-35
"313",313,-34
"314",314,-34
"315",315,-34
"316",316,-33
"317",317,-33
"318",318,-33
"319",319,-33
"320",320,-32
"321",321,-32
"322",322,-32
"323",323,-31
"324",324,-31
"325",325,-31
"326",326,-30
"327",327,-30
"328",328,-30
"329",329,-29
"330",330,-29
"331",331,-29
"332",332,-29
"333",333,-28
"334",334,-28
"335",335,-28
"336",336,-27
"337",337,-27
"338",338,-27
